Wass_vae,Wass_wgan_setup_1,Wass_wgan_setup_2
6.068698973506732,6.270074005297457,6.132473045644811
5.961923942682972,6.212086400792697,6.093047916589686
5.88408051281644,6.27930465531537,6.060535897838305
5.854455811409863,6.2607764106002195,6.011315287170706
5.880731788466378,6.3305782116596045,6.006284829836075
5.866617365703574,6.383037991291738,6.040356096060326
5.897042374487434,6.437531290683897,6.032367861141124
5.935112122706614,6.436497203109496,6.057034267955368
5.991654521090597,6.445234841023614,6.031118134370281
6.027276463385171,6.452901116718598,6.031741521563153
6.117082965085002,6.553201939247678,6.067661340733381
6.229339937430938,6.614600363023433,6.104316856635807
6.3411088042382096,6.725114976786164,6.076852419262313
6.420616388463473,6.665903638097883,6.180029230291596
6.471784476568395,6.758695441490595,6.155029116212371
6.505767620993967,6.835652741074237,6.141512078255677
6.5605480422616385,6.854054436058229,6.263357215213331
6.613349940421391,6.906503537634081,6.2088574259430995
6.669887628699779,6.901590305487825,6.324320109969755
6.780102323181174,6.928309103649686,6.2167268442640085
