FID_vae,FID_wgan_setup_1,FID_wgan_setup_2
0.04631879925727844,0.04523569345474243,0.07177363336086273
0.08803918957710266,0.14305832982063293,0.08338458836078644
0.1357661485671997,0.2166426032781601,0.09382587671279907
0.1766742616891861,0.2654249966144562,0.12786196172237396
0.2123372107744217,0.2374420464038849,0.11797972768545151
0.25826653838157654,0.3216492235660553,0.14208509027957916
0.2899898290634155,0.2944357097148895,0.15084269642829895
0.32794103026390076,0.30165132880210876,0.16324283182621002
0.3624500036239624,0.29385724663734436,0.1872408241033554
0.4069330096244812,0.4123554527759552,0.15381206572055817
0.4450390934944153,0.5576094388961792,0.16959847509860992
0.4879191219806671,0.7336587309837341,0.18126896023750305
0.5085804462432861,0.8916491270065308,0.19122314453125
0.5335812568664551,0.957597553730011,0.2016482800245285
0.5605700612068176,1.4230730533599854,0.17751477658748627
0.5837205052375793,1.68915593624115,0.21009273827075958
0.6123618483543396,2.035485029220581,0.22223524749279022
0.6351736187934875,1.3435124158859253,0.21008063852787018
0.6538505554199219,1.185762882232666,0.2278505563735962
0.699984073638916,1.0578380823135376,0.22504782676696777
